timestamp,market_id,whale_strength,book_imbalance,odds_velocity,large_orders_yes,large_orders_no,top_wallet_exposure
2025-10-25 22:47:22.475814,516720,0.0,-0.3181854493556265,0.0,0,0,0.0
2025-10-25 22:47:25.069829,516721,0.0,0.8059096607647076,0.0,0,0,0.0
2025-10-25 22:47:27.626381,516724,0.0,-0.957556224893863,0.0,0,0,0.0
2025-10-25 22:47:30.181307,516725,0.0,-0.9517769054556848,0.0,0,0,0.0
2025-10-25 22:47:32.733854,516726,0.0,-0.7082958427517904,0.0,0,0,0.0
2025-10-25 22:47:35.247203,516727,0.0,-0.8618142324509435,0.0,0,0,0.0
2025-10-25 22:47:38.032899,516728,0.0,-0.9786416551599546,0.0,0,0,0.0
2025-10-25 22:47:40.572643,516729,0.0,-0.9590297560807942,0.0,0,0,0.0
2025-10-25 22:47:43.126040,516730,0.0,-0.9516953675393724,0.0,0,0,0.0
2025-10-25 22:49:04.542734,516706,0.0,-0.9483099627220148,0.0,0,0,0.0
2025-10-25 22:49:07.167287,516710,0.0,-0.0387768397901797,0.0,0,0,0.0
2025-10-25 22:49:09.775946,516711,0.0,-0.8402920371592134,0.0,0,0,0.0
2025-10-25 22:49:12.288888,516712,0.0,-0.2078505403955647,0.0,0,0,0.0
2025-10-25 22:49:14.814750,516713,0.0,0.3582716139662111,0.0,0,0,0.0
2025-10-25 22:49:17.341079,516714,0.0,0.6979744350249091,0.0,0,0,0.0
2025-10-25 22:49:19.947673,516715,0.0,-0.9288064804127496,0.0,0,0,0.0
2025-10-25 22:49:22.784404,516716,0.0,0.8190674642008737,0.0,0,0,0.0
2025-10-25 22:49:25.308841,516717,0.0,0.6438320094285555,0.0,0,0,0.0
2025-10-25 22:49:27.888901,516719,0.0,0.1954121269050302,0.0,0,0,0.0
2025-10-25 22:49:30.420502,516720,0.0,-0.3267239130297366,0.0,0,0,0.0
2025-10-25 22:49:33.001836,516721,0.0,0.8058679066512617,0.0,0,0,0.0
2025-10-25 22:49:35.581944,516724,0.0,-0.957556224893863,0.0,0,0,0.0
2025-10-25 22:49:38.147459,516725,0.0,-0.9518872305936568,0.0,0,0,0.0
2025-10-25 22:49:40.720305,516726,0.0,-0.708277529640072,0.0,0,0,0.0
2025-10-25 22:49:43.290612,516727,0.0,-0.8619100954372388,0.0,0,0,0.0
2025-10-25 22:49:45.831560,516728,0.0,-0.9787194470232836,0.0,0,0,0.0
2025-10-25 22:49:48.372375,516729,0.0,-0.9590297560807942,0.0,0,0,0.0
