timestamp,market_id,question,mid_yes,mid_no,spread,liquidity,volume_1m,volume_24h,volatility_lookback,time_to_resolution_days,market_type,regime
2025-10-24 16:57:00.128990,516714,Weed rescheduled in 2025?,0.5,0.5,0.05,2155.2851,0.0,57308.950943,0.0,999.0,other,illiquid
2025-10-24 16:57:02.872288,516715,Ukraine joins NATO in 2025?,0.5,0.5,0.05,29008.62554,0.0,124579.769656,0.0,999.0,other,information
2025-10-24 16:57:05.582882,516716,Khamenei out as Supreme Leader of Iran in 2025?,0.5,0.5,0.05,93673.9207,0.0,7710736.024615,0.0,999.0,other,information
2025-10-24 16:57:08.535766,516717,Nuclear weapon detonation in 2025?,0.5,0.5,0.05,42091.7067,0.0,1258470.166979,0.0,999.0,other,information
2025-10-24 16:57:11.437381,516719,Russia x Ukraine ceasefire in 2025?,0.5,0.5,0.05,389679.9289,0.0,24114617.177668,0.0,999.0,other,information
2025-10-24 16:57:14.297489,516720,Putin out as President of Russia in 2025?,0.5,0.5,0.05,35489.93096,0.0,1383038.863908,0.0,999.0,politics,information
2025-10-24 16:57:17.002468,516721,Netanyahu out by 2025?,0.5,0.5,0.05,19467.7963,0.0,697283.750438,0.0,999.0,other,information
2025-10-24 16:57:19.900656,516724,Will 1 Fed rate cut happen in 2025?,0.5,0.5,0.05,74139.77307,0.0,2622068.845807,0.0,999.0,economics,information
2025-10-24 16:57:22.710607,516725,Will 2 Fed rate cuts happen in 2025?,0.5,0.5,0.05,62893.3064,0.0,2053289.040196,0.0,999.0,economics,information
2025-10-24 16:57:25.552554,516726,Will 3 Fed rate cuts happen in 2025?,0.5,0.5,0.05,46369.3353,0.0,2284175.397577,0.0,999.0,economics,information
2025-10-24 16:57:28.439990,516727,Will 4 Fed rate cuts happen in 2025?,0.5,0.5,0.05,58210.81531,0.0,2502727.363586,0.0,999.0,economics,information
2025-10-24 16:57:31.499302,516728,Will 5 Fed rate cuts happen in 2025?,0.5,0.5,0.05,139563.89056,0.0,1785389.911675,0.0,999.0,economics,information
2025-10-24 16:57:34.264564,516729,Will 8+ Fed rate cuts happen in 2025?,0.5,0.5,0.05,160569.9881,0.0,1869650.564135,0.0,999.0,economics,information
2025-10-24 16:57:37.010815,516730,Will 7 Fed rate cuts happen in 2025?,0.5,0.5,0.05,194485.8809,0.0,2011180.152976,0.0,999.0,economics,information
2025-10-24 16:58:56.500103,502517,ARCH Will the match be a draw?,0.5,0.5,0.05,0.0,0.0,0.0,0.0,999.0,other,illiquid
2025-10-24 16:58:59.437610,516706,Fed rate hike in 2025?,0.5,0.5,0.05,36849.95561,0.0,642587.956819,0.0,999.0,economics,information
2025-10-24 16:59:02.287496,516710,US recession in 2025?,0.5,0.5,0.05,101155.7337,0.0,9834177.031515,0.0,999.0,other,information
2025-10-24 16:59:05.123746,516711,Fed emergency rate cut in 2025?,0.5,0.5,0.05,45370.87826,0.0,1068058.86561,0.0,999.0,economics,information
2025-10-24 16:59:07.945262,516712,Tether insolvent in 2025?,0.5,0.5,0.05,39297.90079,0.0,211369.756389,0.0,999.0,crypto,information
2025-10-24 16:59:10.625163,516713,USDT depeg in 2025?,0.5,0.5,0.05,13700.21819,0.0,392358.357718,0.0,999.0,other,information
2025-10-24 16:59:13.387183,516714,Weed rescheduled in 2025?,0.5,0.5,0.05,2155.2851,0.0,57308.950943,0.0,999.0,other,illiquid
2025-10-24 16:59:16.129776,516715,Ukraine joins NATO in 2025?,0.5,0.5,0.05,29008.62554,0.0,124579.769656,0.0,999.0,other,information
2025-10-24 16:59:18.938743,516716,Khamenei out as Supreme Leader of Iran in 2025?,0.5,0.5,0.05,93673.9207,0.0,7710736.024615,0.0,999.0,other,information
2025-10-24 16:59:22.045266,516717,Nuclear weapon detonation in 2025?,0.5,0.5,0.05,42091.7067,0.0,1258470.166979,0.0,999.0,other,information
2025-10-24 16:59:25.361231,516719,Russia x Ukraine ceasefire in 2025?,0.5,0.5,0.05,389679.9289,0.0,24114617.177668,0.0,999.0,other,information
2025-10-24 16:59:28.158888,516720,Putin out as President of Russia in 2025?,0.5,0.5,0.05,35924.116,0.0,1383038.863908,0.0,999.0,politics,information
2025-10-24 16:59:30.943013,516721,Netanyahu out by 2025?,0.5,0.5,0.05,19467.7963,0.0,697283.750438,0.0,999.0,other,information
2025-10-24 16:59:33.782611,516724,Will 1 Fed rate cut happen in 2025?,0.5,0.5,0.05,74139.77307,0.0,2622068.845807,0.0,999.0,economics,information
2025-10-24 16:59:36.659231,516725,Will 2 Fed rate cuts happen in 2025?,0.5,0.5,0.05,62893.3064,0.0,2053289.040196,0.0,999.0,economics,information
2025-10-24 16:59:39.442845,516726,Will 3 Fed rate cuts happen in 2025?,0.5,0.5,0.05,46369.3353,0.0,2284175.397577,0.0,999.0,economics,information
2025-10-24 16:59:42.346346,516727,Will 4 Fed rate cuts happen in 2025?,0.5,0.5,0.05,59342.14259,0.0,2502727.363586,0.0,999.0,economics,information
2025-10-24 16:59:45.128820,516728,Will 5 Fed rate cuts happen in 2025?,0.5,0.5,0.05,139563.89056,0.0,1785389.911675,0.0,999.0,economics,information
2025-10-24 16:59:47.916309,516729,Will 8+ Fed rate cuts happen in 2025?,0.5,0.5,0.05,160569.9881,0.0,1869650.564135,0.0,999.0,economics,information
2025-10-24 16:59:50.638647,516730,Will 7 Fed rate cuts happen in 2025?,0.5,0.5,0.05,194485.8809,0.0,2011180.152976,0.0,999.0,economics,information
2025-10-24 17:01:10.311192,502517,ARCH Will the match be a draw?,0.5,0.5,0.05,0.0,0.0,0.0,0.0,999.0,other,illiquid
2025-10-24 17:01:13.135679,516706,Fed rate hike in 2025?,0.5,0.5,0.05,44035.95821,0.0,642681.126819,0.0,999.0,economics,information
2025-10-24 17:01:16.002305,516710,US recession in 2025?,0.5,0.5,0.05,101405.2049,0.0,9834179.031515,0.0,999.0,other,information
2025-10-24 17:01:19.158560,516711,Fed emergency rate cut in 2025?,0.5,0.5,0.05,45370.87826,0.0,1068058.86561,0.0,999.0,economics,information
2025-10-24 17:01:21.869569,516712,Tether insolvent in 2025?,0.5,0.5,0.05,39306.06289,0.0,211369.756389,0.0,999.0,crypto,information
2025-10-24 17:01:24.836097,516713,USDT depeg in 2025?,0.5,0.5,0.05,13700.21819,0.0,392358.357718,0.0,999.0,other,information
2025-10-24 17:01:27.670102,516714,Weed rescheduled in 2025?,0.5,0.5,0.05,2155.2851,0.0,57308.950943,0.0,999.0,other,illiquid
2025-10-24 17:01:30.617842,516715,Ukraine joins NATO in 2025?,0.5,0.5,0.05,29012.96599,0.0,124579.769656,0.0,999.0,other,information
2025-10-24 17:01:33.465546,516716,Khamenei out as Supreme Leader of Iran in 2025?,0.5,0.5,0.05,93813.8407,0.0,7710736.024615,0.0,999.0,other,information
2025-10-24 17:01:36.245039,516717,Nuclear weapon detonation in 2025?,0.5,0.5,0.05,42091.4976,0.0,1258470.166979,0.0,999.0,other,information
2025-10-24 17:01:39.032611,516719,Russia x Ukraine ceasefire in 2025?,0.5,0.5,0.05,389679.9289,0.0,24114617.177668,0.0,999.0,other,information
2025-10-24 17:01:42.460188,516720,Putin out as President of Russia in 2025?,0.5,0.5,0.05,35924.116,0.0,1383038.863908,0.0,999.0,politics,information
2025-10-24 17:01:45.287476,516721,Netanyahu out by 2025?,0.5,0.5,0.05,19467.7963,0.0,697283.750438,0.0,999.0,other,information
2025-10-24 17:01:48.060946,516724,Will 1 Fed rate cut happen in 2025?,0.5,0.5,0.05,74139.77307,0.0,2622068.845807,0.0,999.0,economics,information
2025-10-24 17:01:50.823277,516725,Will 2 Fed rate cuts happen in 2025?,0.5,0.5,0.05,62893.3064,0.0,2053289.040196,0.0,999.0,economics,information
2025-10-24 17:01:53.753461,516726,Will 3 Fed rate cuts happen in 2025?,0.5,0.5,0.05,46369.3353,0.0,2284175.397577,0.0,999.0,economics,information
2025-10-24 17:01:56.657398,516727,Will 4 Fed rate cuts happen in 2025?,0.5,0.5,0.05,59342.14259,0.0,2502727.363586,0.0,999.0,economics,information
2025-10-24 17:01:59.346820,516728,Will 5 Fed rate cuts happen in 2025?,0.5,0.5,0.05,139563.89056,0.0,1785389.911675,0.0,999.0,economics,information
2025-10-24 17:02:02.310578,516729,Will 8+ Fed rate cuts happen in 2025?,0.5,0.5,0.05,160569.9881,0.0,1869650.564135,0.0,999.0,economics,information
2025-10-24 17:02:05.213437,516730,Will 7 Fed rate cuts happen in 2025?,0.5,0.5,0.05,194488.8009,0.0,2011180.152976,0.0,999.0,economics,information
2025-10-24 17:03:24.945043,502517,ARCH Will the match be a draw?,0.5,0.5,0.05,0.0,0.0,0.0,0.0,999.0,other,illiquid
2025-10-24 17:03:27.651272,516706,Fed rate hike in 2025?,0.5,0.5,0.05,44035.95821,0.0,642681.126819,0.0,999.0,economics,information
2025-10-24 17:03:30.479163,516710,US recession in 2025?,0.5,0.5,0.05,101405.2049,0.0,9834179.031515,0.0,999.0,other,information
2025-10-24 17:03:33.342421,516711,Fed emergency rate cut in 2025?,0.5,0.5,0.05,45370.87826,0.0,1068058.86561,0.0,999.0,economics,information
2025-10-24 17:03:36.412191,516712,Tether insolvent in 2025?,0.5,0.5,0.05,39306.06289,0.0,211369.756389,0.0,999.0,crypto,information
2025-10-24 17:03:39.672269,516713,USDT depeg in 2025?,0.5,0.5,0.05,13707.98644,0.0,392358.357718,0.0,999.0,other,information
2025-10-24 17:03:42.464840,516714,Weed rescheduled in 2025?,0.5,0.5,0.05,2155.2851,0.0,57308.950943,0.0,999.0,other,illiquid
2025-10-24 17:03:45.131664,516715,Ukraine joins NATO in 2025?,0.5,0.5,0.05,29012.96599,0.0,124579.769656,0.0,999.0,other,information
2025-10-24 17:03:48.044940,516716,Khamenei out as Supreme Leader of Iran in 2025?,0.5,0.5,0.05,93813.8407,0.0,7710736.024615,0.0,999.0,other,information
2025-10-24 17:03:50.913423,516717,Nuclear weapon detonation in 2025?,0.5,0.5,0.05,42091.4976,0.0,1258470.166979,0.0,999.0,other,information
2025-10-24 17:03:53.704154,516719,Russia x Ukraine ceasefire in 2025?,0.5,0.5,0.05,389819.8489,0.0,24114617.177668,0.0,999.0,other,information
2025-10-24 17:03:56.463235,516720,Putin out as President of Russia in 2025?,0.5,0.5,0.05,35924.116,0.0,1383038.863908,0.0,999.0,politics,information
2025-10-24 17:03:59.344443,516721,Netanyahu out by 2025?,0.5,0.5,0.05,19467.7963,0.0,697283.750438,0.0,999.0,other,information
2025-10-24 17:04:02.040454,516724,Will 1 Fed rate cut happen in 2025?,0.5,0.5,0.05,74139.77307,0.0,2622068.845807,0.0,999.0,economics,information
2025-10-24 17:04:04.872519,516725,Will 2 Fed rate cuts happen in 2025?,0.5,0.5,0.05,62893.3064,0.0,2053289.040196,0.0,999.0,economics,information
2025-10-24 17:04:07.631286,516726,Will 3 Fed rate cuts happen in 2025?,0.5,0.5,0.05,46383.3593,0.0,2284175.397577,0.0,999.0,economics,information
2025-10-24 17:04:10.421174,516727,Will 4 Fed rate cuts happen in 2025?,0.5,0.5,0.05,59342.14259,0.0,2502727.363586,0.0,999.0,economics,information
2025-10-24 17:04:13.362344,516728,Will 5 Fed rate cuts happen in 2025?,0.5,0.5,0.05,139566.12556,0.0,1785389.911675,0.0,999.0,economics,information
2025-10-24 17:04:16.273839,516729,Will 8+ Fed rate cuts happen in 2025?,0.5,0.5,0.05,160568.2081,0.0,1869650.564135,0.0,999.0,economics,information
2025-10-24 17:04:19.148279,516730,Will 7 Fed rate cuts happen in 2025?,0.5,0.5,0.05,194488.8009,0.0,2011180.152976,0.0,999.0,economics,information
2025-10-24 17:05:39.103277,502517,ARCH Will the match be a draw?,0.5,0.5,0.05,0.0,0.0,0.0,0.0,999.0,other,illiquid
2025-10-24 17:05:42.068675,516706,Fed rate hike in 2025?,0.5,0.5,0.05,44035.95821,0.0,642681.126819,0.0,999.0,economics,information
2025-10-24 17:05:44.859026,516710,US recession in 2025?,0.5,0.5,0.05,101405.2049,0.0,9834179.031515,0.0,999.0,other,information
2025-10-24 17:05:47.684756,516711,Fed emergency rate cut in 2025?,0.5,0.5,0.05,45622.16514,0.0,1068058.86561,0.0,999.0,economics,information
2025-10-24 17:05:50.552346,516712,Tether insolvent in 2025?,0.5,0.5,0.05,39306.06289,0.0,211369.756389,0.0,999.0,crypto,information
2025-10-24 17:05:53.339481,516713,USDT depeg in 2025?,0.5,0.5,0.05,13707.98644,0.0,392358.357718,0.0,999.0,other,information
2025-10-24 17:05:56.158957,516714,Weed rescheduled in 2025?,0.5,0.5,0.05,2395.2851,0.0,57308.950943,0.0,999.0,other,illiquid
2025-10-24 17:05:58.987505,516715,Ukraine joins NATO in 2025?,0.5,0.5,0.05,29012.96599,0.0,124579.769656,0.0,999.0,other,information
2025-10-24 17:06:02.032563,516716,Khamenei out as Supreme Leader of Iran in 2025?,0.5,0.5,0.05,93813.8407,0.0,7710736.024615,0.0,999.0,other,information
2025-10-24 17:06:05.012553,516717,Nuclear weapon detonation in 2025?,0.5,0.5,0.05,42091.4976,0.0,1258470.166979,0.0,999.0,other,information
2025-10-24 17:06:07.828141,516719,Russia x Ukraine ceasefire in 2025?,0.5,0.5,0.05,389819.8489,0.0,24114617.177668,0.0,999.0,other,information
2025-10-24 17:06:10.581677,516720,Putin out as President of Russia in 2025?,0.5,0.5,0.05,35924.116,0.0,1383038.863908,0.0,999.0,politics,information
2025-10-24 17:06:13.423051,516721,Netanyahu out by 2025?,0.5,0.5,0.05,19467.7963,0.0,697283.750438,0.0,999.0,other,information
2025-10-24 17:06:16.244322,516724,Will 1 Fed rate cut happen in 2025?,0.5,0.5,0.05,74579.46547,0.0,2622983.845807,0.0,999.0,economics,information
2025-10-24 17:06:19.084620,516725,Will 2 Fed rate cuts happen in 2025?,0.5,0.5,0.05,63087.6764,0.0,2053289.040196,0.0,999.0,economics,information
2025-10-24 17:06:21.901043,516726,Will 3 Fed rate cuts happen in 2025?,0.5,0.5,0.05,46383.3593,0.0,2284175.397577,0.0,999.0,economics,information
2025-10-24 17:06:24.732862,516727,Will 4 Fed rate cuts happen in 2025?,0.5,0.5,0.05,59342.14259,0.0,2502727.363586,0.0,999.0,economics,information
2025-10-24 17:06:27.503837,516728,Will 5 Fed rate cuts happen in 2025?,0.5,0.5,0.05,139566.12556,0.0,1785389.911675,0.0,999.0,economics,information
2025-10-24 17:06:30.390310,516729,Will 8+ Fed rate cuts happen in 2025?,0.5,0.5,0.05,160568.2081,0.0,1869650.564135,0.0,999.0,economics,information
2025-10-24 17:06:33.114954,516730,Will 7 Fed rate cuts happen in 2025?,0.5,0.5,0.05,194488.8009,0.0,2011180.152976,0.0,999.0,economics,information
2025-10-24 17:07:53.117916,502517,ARCH Will the match be a draw?,0.5,0.5,0.05,0.0,0.0,0.0,0.0,999.0,other,illiquid
2025-10-24 17:07:55.953419,516706,Fed rate hike in 2025?,0.5,0.5,0.05,44035.95821,0.0,642681.126819,0.0,999.0,economics,information
2025-10-24 17:07:58.810150,516710,US recession in 2025?,0.5,0.5,0.05,101405.2049,0.0,9834179.031515,0.0,999.0,other,information
2025-10-24 17:08:01.526829,516711,Fed emergency rate cut in 2025?,0.5,0.5,0.05,45622.16514,0.0,1068058.86561,0.0,999.0,economics,information
2025-10-24 17:08:04.368131,516712,Tether insolvent in 2025?,0.5,0.5,0.05,39306.06289,0.0,211369.756389,0.0,999.0,crypto,information
2025-10-24 17:08:07.315861,516713,USDT depeg in 2025?,0.5,0.5,0.05,13707.98644,0.0,392358.357718,0.0,999.0,other,information
2025-10-24 17:08:10.230587,516714,Weed rescheduled in 2025?,0.5,0.5,0.05,2395.2851,0.0,57308.950943,0.0,999.0,other,illiquid
2025-10-24 17:08:13.010053,516715,Ukraine joins NATO in 2025?,0.5,0.5,0.05,29012.96599,0.0,124579.769656,0.0,999.0,other,information
